base_addr,cache_line,page_addr,confidence^page_addr,curr_sig^sig_delta,ip_1^ip_2^ip_3,ip^depth,ip^sig_delta,confidence,
,14,13,15,-7,,-1,0,,
,7,12,9,2,-1,,1,,
,6,12,12,9,1,,,,
,2,14,11,6,,,-3,,
,5,12,12,15,,,-12,,
,4,9,12,-16,0,,-3,,
,-15,9,13,-3,,,6,,
11,12,14,14,15,,2,-1,,
,15,11,14,-16,,,-2,,
1,12,10,12,-2,15,-8,-3,,
2,12,15,10,-2,,-1,-16,,
1,12,12,15,-1,-5,-9,-14,,
,12,15,11,4,,-16,-8,,
,12,10,15,14,,-12,-7,,
3,15,15,14,-6,,-10,,,
15,14,13,11,7,,15,-15,,
,15,13,14,-4,,14,9,,
,11,14,11,9,,-15,-16,,
,13,8,12,13,,-15,-16,,
,12,12,13,11,,-16,-16,,
,14,11,14,15,5,-16,-16,,
,14,7,14,-3,,13,-14,,
,10,15,6,11,,-1,-16,,
14,14,8,14,2,,-16,-4,,
,13,13,10,2,,4,-10,,
,12,12,15,-9,,-11,-16,,
,10,15,15,13,,-10,-16,,
,15,11,11,-14,,-15,-12,,
,12,14,12,-3,,-16,-16,,
,10,15,14,-16,1,6,-16,,
,13,14,13,3,,-5,-16,,
9,14,9,14,8,,,-3,,
,11,10,13,-6,,-1,-2,,
,14,15,12,2,,-1,,,
,11,12,14,1,,-1,,,
,14,7,11,-2,14,,-1,,
,14,11,11,-16,,,,,
,15,13,12,12,,,,,
,15,13,15,-16,,,-1,,
10,13,12,13,4,,-4,-5,,
,10,9,15,5,,-7,15,,
,12,12,10,6,,-16,15,,
,10,10,12,9,1,9,,,
,13,13,11,-4,4,-16,-9,,
,11,7,12,5,,-16,-1,,
,11,13,14,-3,,-16,-1,,
,13,13,13,4,1,-16,-5,,
10,14,13,11,-6,,13,-9,,
,9,14,14,3,,6,1,,
,10,11,12,-12,,12,-12,,
,10,13,11,1,,1,2,,
,8,13,15,-1,,8,-13,,
,11,14,12,-13,,7,-12,,
,12,11,12,-6,,11,-4,,
,15,14,12,-8,,7,-7,,
13,15,11,13,14,,,-13,,
,13,10,10,-2,0,,-6,,
,15,10,15,3,,-2,1,,
,15,15,13,9,-1,-5,5,,
,13,10,13,10,,7,12,,
,15,13,8,0,,11,12,,
,14,15,8,-16,,0,10,,
,14,12,15,2,,15,15,,
8,15,12,12,9,,8,-15,,
,13,11,12,-8,,1,-9,,
,9,14,14,0,,6,-5,,
,7,11,13,15,,11,-3,,
,9,15,12,3,,-14,-16,,
,0,12,15,1,5,-15,-16,,
,2,9,12,-16,,-7,-16,,
,-3,11,14,3,,-16,-16,,
12,14,10,14,0,-7,-4,15,,
3,15,11,12,-1,,15,-1,,
-1,13,14,15,-12,8,-16,-15,,
2,14,13,15,-14,,-16,14,,
-1,13,12,14,-16,14,-14,-16,,
,12,12,14,-13,12,-16,-16,,
,15,10,10,-12,,-15,-11,,
-2,14,10,9,-12,-5,-11,-14,,
15,13,13,9,12,,14,,,
,11,8,11,1,0,13,-5,,
,15,14,12,8,-6,-12,,,
,12,13,9,14,0,-2,1,,
,14,14,13,0,,15,-1,,
,11,12,13,6,,14,1,,
,15,14,15,5,3,11,,,
,11,15,13,2,,8,-1,,
12,9,12,11,-9,,14,,,
,11,13,13,-6,,13,,,
,11,13,11,-7,13,11,,,
,12,9,9,-16,13,15,,,
,11,13,15,-12,1,-3,,,
,13,15,13,4,,0,,,
,15,15,12,-11,,9,,,
,11,13,11,-1,2,7,,,
15,11,13,12,-9,4,2,-13,,
,15,8,14,-4,,9,,,
,14,11,12,-5,2,11,-2,,
,11,12,13,0,0,12,-10,,
,15,13,13,-3,1,14,-1,,
,15,15,15,2,,13,,,
,14,11,13,-5,,12,,,
,12,11,13,-1,,9,,,
14,14,12,14,11,,9,,,
,13,13,14,-1,,9,,,
,15,11,12,-4,14,11,,,
,13,10,9,8,7,15,,,
,14,13,10,13,1,1,-5,,
,14,13,13,3,2,11,-6,,
,14,12,13,11,,8,-5,,
,11,11,11,13,-1,13,-2,,
15,12,10,12,-9,2,,,,
,13,10,10,-8,,,,,
,15,13,12,-3,,,,,
,14,13,12,-4,,,,,
,14,14,10,-5,,,,,
,15,15,13,-2,,,,,
,15,14,9,15,1,,,,
,14,4,9,14,8,,,,
12,12,12,12,2,9,11,,,
,12,13,12,-2,0,12,,,
,13,10,13,5,3,12,,,
,14,13,11,3,3,13,,,
,13,15,12,4,,2,,,
,14,13,14,1,,13,,,
,9,13,15,7,5,15,,,
,15,13,14,-4,2,15,,,
13,12,12,14,-16,,10,-13,,
,14,12,14,-14,3,4,-3,,
,14,8,10,-1,,8,-1,,
,11,14,11,13,-5,6,-8,,
,14,7,13,-3,15,3,,,
,5,12,11,-1,3,13,-1,,
,-4,11,11,8,,4,,,
,8,12,11,-1,,5,,,
14,10,10,15,-5,12,12,-13,,
2,10,12,12,15,12,7,-1,,
1,11,10,13,0,,13,-1,,
0,15,14,10,7,,13,-1,,
,15,10,10,-4,,10,0,,
1,13,11,14,-9,-1,14,0,,
2,15,11,13,-4,1,8,,,
-1,15,14,8,-10,3,10,0,,
12,13,8,14,5,,-1,,,
,15,12,15,4,-2,1,1,,
,10,14,11,6,,-2,,,
,13,12,14,12,4,,,,
,15,12,12,10,,-2,-1,,
,13,10,11,10,,,,,
,10,14,12,9,3,2,-3,,
,14,13,14,10,,-2,2,,
8,14,15,10,4,1,4,,,
,13,7,13,10,,6,,,
,10,14,12,2,,10,,,
,11,12,14,15,6,8,,,
,15,10,9,15,-1,7,,,
,15,9,11,-15,0,3,,,
,10,12,12,-16,1,9,,,
,10,12,13,2,2,11,,,
12,11,8,13,9,,-1,,,
,15,14,11,-16,0,-1,,,
,15,11,9,-12,,,,,
,14,11,13,4,,,,,
,14,10,13,2,,,-1,,
,15,12,13,11,-1,,,,
,15,15,14,9,,,-16,,
,13,15,12,1,-5,,,,
15,11,13,15,6,6,10,,,
,7,14,10,-16,1,13,,,
,13,12,15,9,3,9,,,
,13,13,12,5,9,8,,,
,13,10,12,-5,,9,,,
,14,10,10,-3,,12,-1,,
,10,10,12,8,13,8,,,
,15,11,13,-13,-8,9,,,
13,12,11,14,-10,,-1,,,
,14,14,10,9,0,9,,,
,13,11,11,-5,,-16,,,
,14,9,13,-2,-1,-16,-13,,
,14,14,12,2,-1,-16,,,
,14,10,13,13,,-16,,,
,10,12,11,-5,15,13,,,
,15,12,13,8,,-15,,,
15,12,12,13,-10,,12,,,
,13,13,15,-8,,13,,,
,13,11,15,-8,,10,,,
,14,15,13,4,4,11,,,
,15,13,11,-15,0,9,,,
,10,13,14,3,,4,,,
,12,14,13,-1,-1,8,,,
,13,13,14,-16,5,10,,,
12,11,10,13,-14,12,-16,,,
,14,11,10,-16,11,-10,,,
,14,11,14,-16,10,-4,,,
,11,15,15,4,,-4,-1,,
,13,14,14,-13,10,-1,,,
,10,13,13,-8,12,,,,
,8,10,13,-11,,,,,
,1,12,11,-15,4,,,,
11,8,12,12,6,2,10,0,,
,15,14,14,13,11,6,2,,
,11,15,12,-7,14,12,,,
2,13,9,13,4,,14,,,
,13,13,11,-4,9,5,1,,
2,14,11,11,12,14,14,0,,
,13,12,14,-9,1,11,-1,,
1,11,12,12,-4,4,13,0,,
10,10,12,11,-4,,,1,,
,11,12,13,-15,1,,-16,,
,11,13,11,-16,15,,,,
,12,11,12,2,10,,2,,
,15,15,10,14,14,-1,15,,
,13,9,13,10,14,-2,,,
,11,13,15,11,-1,-5,-16,,
,9,12,14,15,8,-16,15,,
10,13,13,13,8,14,,,,
,12,14,13,-14,12,,,,
,11,15,12,8,14,,,,
,12,13,14,3,12,,-1,,
,12,12,10,9,-1,-2,7,,
,13,12,13,10,13,-2,6,,
,15,10,13,-16,,,-1,,
,14,14,12,-10,13,-1,15,,
10,13,15,10,2,,15,,,
,15,13,12,0,-5,11,,,
,14,11,15,5,10,13,,,
,13,14,13,6,9,13,,,
,14,10,9,1,3,13,,,
,14,12,12,10,4,13,,,
,12,11,11,-16,-2,6,,,
,12,9,14,-4,-7,-10,,,
-2,11,13,14,14,11,,,,
,13,12,11,-14,6,,,,
,12,15,12,6,10,,,,
,12,10,14,5,14,,,,
,15,15,13,-12,,,,,
,14,13,12,4,12,,,,
,15,13,13,0,-6,,,,
,15,12,13,-4,7,,,,
12,13,12,13,0,3,,,,
,15,12,14,-7,14,,,,
,15,13,15,14,11,-16,,,
,14,15,13,-8,-1,,,,
,13,15,14,-4,,-16,-3,,
,15,15,14,6,-2,-16,,,
,12,12,13,7,10,-16,-9,,
,15,12,11,-16,,-16,-6,,
12,15,13,14,11,2,-16,,,
,15,13,11,-4,,-16,,,
,11,11,14,9,-8,-16,,,
,15,11,13,7,1,-16,,,
,12,13,10,2,11,-1,,,
,13,8,12,6,0,-16,,,
,15,11,9,-16,6,-16,,,
,10,10,13,7,14,-6,,,
11,-13,13,13,14,2,,,,
,-15,9,12,-8,,,,,
,-4,11,12,11,,,,,
,1,12,12,4,,,,,
,-10,14,12,6,-11,3,15,,
,-16,11,14,3,6,,3,,
,8,14,14,7,,15,,,
,1,14,15,-1,4,15,15,,
8,9,14,13,12,1,-15,-16,,
,15,14,12,-2,,-16,-13,,
1,11,14,12,4,-5,-15,-15,,
0,13,13,12,4,10,-15,-16,,
1,15,11,13,10,-2,1,1,,
2,15,9,14,8,,-2,1,,
-3,12,14,11,-4,0,-13,1,,
,14,10,11,-5,7,-16,0,,
15,14,12,13,15,15,-16,-1,,
,15,11,13,-16,12,-16,,,
,12,14,14,10,7,-16,-1,,
,12,15,12,11,9,-16,-6,,
,11,15,13,6,,-16,-3,,
,12,13,14,13,,-16,6,,
,15,14,15,-3,2,-3,-16,,
,12,15,14,4,3,-16,6,,
15,14,13,12,7,8,15,,,
,14,12,11,2,7,4,,,
,15,14,15,6,-2,11,,,
,14,15,15,6,-1,7,,,
,15,15,14,0,-6,-16,-6,,
,13,10,14,12,6,13,,,
,11,14,10,-16,5,15,-16,,
,14,10,15,8,4,14,10,,
11,15,15,15,14,4,-16,-15,,
,12,15,15,-1,,-15,-16,,
,15,13,11,-1,-1,-1,-15,,
,11,8,13,3,8,,-1,,
,15,11,11,-1,,15,,,
,14,14,13,8,,-6,15,,
,15,10,14,8,13,-13,-1,,
,15,12,10,-1,2,-15,-13,,
9,12,14,15,7,8,11,-4,,
,15,14,13,-15,1,7,-10,,
,13,15,12,9,,9,-1,,
,15,15,14,6,3,14,15,,
,11,15,11,-3,10,15,-16,,
,10,11,15,9,13,8,-1,,
,12,13,14,-7,1,13,-13,,
,12,15,13,-3,10,11,-16,,
10,15,9,15,4,7,-7,,,
,12,14,14,-16,10,-16,,,
,12,15,15,-4,1,-11,1,,
,7,14,13,-16,5,7,,,
,12,14,12,-5,-12,-16,,,
,11,14,14,14,13,-16,,,
,12,13,14,15,3,-2,-8,,
,14,11,12,-15,12,-1,-3,,
11,7,14,15,15,5,11,,,
,11,15,15,4,11,12,,,
,14,14,11,9,,12,,,
,14,14,13,4,,10,,,
,14,13,14,1,,9,,,
,11,14,14,-15,,9,,,
,13,13,14,-16,0,14,,,
,14,15,14,-2,1,9,,,
11,14,15,14,8,13,9,,,
,15,14,14,1,15,-7,-7,,
,10,14,14,-7,9,14,-6,,
,11,15,15,11,2,12,,,
,11,14,12,5,2,13,-16,,
,9,9,15,-6,,15,-16,,
,7,12,15,-7,6,14,-16,,
,0,11,13,-3,10,9,-13,,
10,15,14,15,-3,15,1,2,,
5,8,13,14,14,13,7,0,,
,13,11,11,-2,9,9,-1,,
0,10,12,11,1,12,6,1,,
5,9,12,13,1,11,10,-1,,
,15,13,12,1,13,14,0,,
,14,13,14,-9,13,15,-1,,
,13,15,15,1,10,-1,3,,
11,15,11,14,5,11,9,-3,,
,15,15,12,-8,13,8,-5,,
,13,15,11,4,14,15,,,
,14,10,14,6,13,13,-1,,
,13,12,12,5,14,8,,,
,15,11,12,8,14,12,,,
,13,11,13,8,8,10,,,
,12,13,9,0,10,6,0,,
15,15,10,15,4,11,6,1,,
,10,14,11,-7,15,10,1,,
,13,12,12,7,14,0,,,
,13,13,14,4,11,7,0,,
,10,15,11,-7,15,11,-1,,
,12,8,15,-2,15,2,,,
,11,13,15,-16,12,12,-1,,
,13,15,12,-16,12,14,,,
12,14,15,13,-2,11,14,,,
,12,14,14,2,5,11,,,
,15,12,15,0,14,9,,,
,15,12,13,11,8,12,,,
,12,14,12,-16,10,15,,,
,13,12,14,-16,12,15,,,
,14,11,11,0,13,9,,,
,15,14,15,-14,12,,,,
9,15,10,11,8,9,11,1,,
,13,12,12,8,13,10,-4,,
,9,15,14,-1,14,9,0,,
,15,14,15,-2,13,9,1,,
,14,14,14,2,13,4,-1,,
,9,13,15,-7,11,4,-2,,
,14,10,13,4,13,14,-4,,
,13,15,12,5,10,6,,,
14,12,13,12,-11,12,4,,,
,15,13,12,-16,13,10,15,,
,15,15,13,5,11,7,13,,
,15,15,14,3,11,8,15,,
,10,12,11,0,12,13,-4,,
,14,10,12,14,11,15,,,
,14,12,13,11,10,8,-3,,
,15,9,14,2,8,15,-4,,
11,14,13,14,11,11,12,,,
,15,11,14,8,12,14,,,
,13,11,12,3,9,9,,,
,14,13,14,5,12,5,-1,,
,15,14,14,-4,11,12,,,
,10,13,12,10,12,8,,,
,9,15,11,-16,9,11,-5,,
,8,10,13,-1,14,10,-14,,
13,14,11,15,9,13,0,,,
,14,13,14,-10,12,-1,,,
,9,14,15,-6,12,0,,,
,14,14,14,-1,13,1,-1,,
,10,11,14,0,13,,1,,
,7,15,13,1,13,,,,
,10,15,13,0,11,-1,,,
,5,14,15,2,9,,-1,,
14,11,15,14,-3,11,11,-9,,
2,15,15,14,15,10,12,-16,,
2,14,15,14,9,12,4,-1,,
,14,11,13,7,12,0,-16,,
-1,11,14,11,7,12,4,11,,
,15,12,15,12,10,8,-16,,
,14,12,14,3,14,9,-16,,
0,14,10,10,5,15,7,-15,,
12,11,10,14,9,12,3,-14,,
,13,13,12,9,12,12,-14,,
,12,12,14,8,14,7,3,,
,7,10,12,11,15,9,,,
,14,10,11,1,14,14,-16,,
,15,12,10,10,12,12,15,,
,10,8,13,3,12,11,-16,,
,14,11,11,9,11,11,-15,,
13,15,15,13,3,8,,,,
,15,14,13,3,5,,,,
,14,11,14,6,9,,,,
,13,13,13,8,12,,,,
,12,13,12,0,13,,,,
,11,10,12,0,15,,,,
,14,12,14,5,14,,,,
,14,14,13,-2,9,,,,
10,15,12,10,2,14,-11,-1,,
,11,13,12,-11,10,-15,,,
,13,15,13,-8,7,-16,,,
,13,15,15,-10,15,-16,,,
,12,13,14,1,11,,,,
,12,11,15,4,12,0,,,
,15,11,15,6,12,,1,,
,14,15,11,-4,12,-4,,,
9,15,14,12,7,9,13,,,
,11,12,14,7,11,10,13,,
,15,14,13,0,13,13,14,,
,15,15,15,10,9,15,14,,
,14,13,15,3,13,8,2,,
,14,14,13,6,12,14,7,,
,11,12,13,1,14,7,-1,,
,12,15,12,2,14,11,15,,
10,14,11,13,9,11,9,4,,
,14,13,12,2,13,14,13,,
,15,12,12,14,9,7,-16,,
,14,12,10,8,14,9,-16,,
,12,11,14,-6,13,12,-6,,
,11,8,15,-16,14,-4,-16,,
,12,14,14,5,14,10,-11,,
,13,14,14,4,14,11,5,,
10,12,10,14,-3,14,9,,,
,15,13,11,-7,10,8,,,
,13,13,15,-1,11,0,1,,
,14,12,11,6,14,10,-13,,
,14,14,12,-16,12,8,,,
,11,13,12,5,10,12,,,
,9,14,14,-1,15,11,,,
,14,11,13,13,13,12,,,
10,12,12,13,9,8,-1,,,
,15,13,14,2,9,1,,,
,11,14,10,4,15,1,,,
,10,14,13,15,11,,,,
,14,14,11,0,9,-1,,,
,9,12,14,13,12,,,,
,4,13,12,-8,6,-1,,,
,6,13,14,1,12,-1,8,,
10,12,14,14,15,10,-2,-5,,
,13,15,15,6,12,-3,5,,
1,12,12,11,0,15,1,13,,
,12,11,14,-2,15,3,-16,,
,13,12,12,0,12,-16,-13,,
-1,12,13,12,-6,10,-14,-16,,
,15,14,13,3,14,-11,-11,,
,14,11,15,-2,11,-15,-8,,
14,13,8,15,10,15,12,15,,
,15,12,9,9,1,15,-15,,
,15,12,12,12,11,14,-16,,
,14,13,10,12,14,9,-7,,
,12,15,9,11,15,7,-16,,
,14,10,14,14,10,-2,-16,,
,14,12,14,1,14,10,-16,,
,14,13,11,12,13,9,,,
11,14,14,13,-12,10,15,-16,,
,13,13,14,-16,12,9,-15,,
,12,12,13,14,9,14,-13,,
,13,13,14,6,14,11,-1,,
,10,14,13,2,15,15,-15,,
,7,15,12,6,11,11,-16,,
,13,8,14,-16,14,2,-16,,
,12,12,11,0,13,-5,-15,,
12,11,11,13,1,7,-8,0,,
,11,12,14,7,14,-2,-16,,
,13,15,12,7,14,,-6,,
,12,11,14,9,11,,,,
,11,9,14,2,12,-13,-15,,
,14,14,12,11,14,-10,-12,,
,15,11,12,9,10,-8,-1,,
,14,14,15,-7,15,-10,-12,,
12,12,6,15,12,12,10,-16,,
,12,7,15,-3,14,0,-16,,
,14,11,15,-9,15,12,-16,,
,10,10,14,10,11,9,-16,,
,11,13,15,-1,13,12,15,,
,13,11,15,10,10,9,-16,,
,12,12,13,2,10,8,-15,,
,12,11,15,1,15,13,-16,,
15,8,13,15,5,14,-16,-16,,
,14,9,15,-6,15,-7,-14,,
,15,15,15,-1,11,-6,-16,,
,15,13,15,12,12,-16,-16,,
,13,14,15,13,8,,-16,,
,12,13,15,2,13,,-15,,
,14,11,15,-1,12,-1,-16,,
,14,10,15,7,7,,-15,,
10,12,12,15,10,11,5,-16,,
,15,14,13,2,13,11,8,,
,15,12,13,1,12,8,-10,,
,14,11,15,-2,11,10,-16,,
,15,14,14,1,9,14,-15,,
,14,12,15,-5,9,15,-15,,
,6,13,13,2,15,11,-16,,
,12,10,15,1,14,11,-16,,
11,14,11,13,7,13,-12,-15,,
,11,7,15,1,11,-16,-11,,
,11,11,15,1,12,-7,-14,,
,13,14,14,13,6,-16,-15,,
,11,11,13,-7,14,-2,-3,,
,8,11,14,3,14,-14,,,
,5,12,14,8,14,,-8,,
,-2,7,15,-3,8,,-2,,
13,9,12,10,1,14,6,-13,,
1,9,12,11,-16,13,5,-14,,
2,12,15,13,0,11,5,-2,,
-1,7,10,15,1,10,3,-15,,
4,5,12,14,-1,11,10,-15,,
,12,14,14,3,13,12,-16,,
,11,13,15,2,8,12,-10,,
,10,15,14,-3,15,12,-13,,
14,12,13,15,15,15,-16,-16,,
,11,14,15,-16,12,-16,-16,,
,9,13,12,15,12,-16,-15,,
,9,12,15,12,14,-16,-16,,
,10,15,15,15,4,-16,-16,,
,13,13,12,15,10,-16,-16,,
,9,15,12,15,11,,-16,,
,8,12,12,15,13,-16,-16,,
12,11,9,12,4,15,15,-16,,
,8,10,15,4,13,-1,-16,,
,9,10,15,2,13,4,-16,,
,11,13,11,13,12,13,-16,,
,12,11,15,-9,14,12,-2,,
,9,13,15,5,15,8,-14,,
,10,14,13,9,12,13,-16,,
,15,11,12,-1,13,1,-16,,
13,14,10,15,-1,14,-2,-16,,
,13,13,15,-3,13,,-16,,
,10,13,15,3,15,-5,-15,,
,10,13,13,3,10,-10,-16,,
,8,6,14,10,15,,-16,,
,6,11,15,9,12,,-16,,
,9,13,15,-1,12,,-16,,
,13,11,15,7,14,,-16,,
8,14,13,9,1,12,13,-15,,
,12,10,5,-8,13,11,-15,,
,13,13,5,-5,10,5,-16,,
,10,9,2,6,12,13,-16,,
,15,11,9,7,14,7,-16,,
,12,12,7,8,13,4,-16,,
,9,14,7,-3,11,12,-16,,
,12,12,3,4,14,9,-16,,
12,14,13,11,11,15,,-16,,
,15,10,13,12,11,,-16,,
,13,14,12,14,9,,-16,,
,13,14,15,5,8,-1,-16,,
,13,8,6,10,15,-12,-16,,
,8,13,13,15,12,-16,-16,,
,13,13,14,13,12,-16,-16,,
,11,10,8,8,9,-9,-16,,
13,13,14,-10,-8,7,-16,-16,,
,15,13,-9,-16,15,-16,-16,,
,11,13,-16,-7,15,-16,-16,,
,15,-12,11,4,10,12,-16,,
,15,9,1,-4,14,-16,-16,,
,14,14,-3,-15,11,-16,-16,,
,13,14,-11,1,15,-16,-16,,
,15,10,-6,-13,15,-16,-16,,
10,15,12,13,4,13,-16,-16,,
,15,14,11,-6,9,-16,-16,,
,9,11,-16,0,8,-16,-16,,
,5,-3,-5,-15,11,-16,-16,,
,2,10,14,-1,14,-16,-16,,
,3,13,-14,3,10,6,-16,,
,6,15,1,-3,12,-16,-16,,
,-4,13,7,-14,14,-16,-16,,
11,12,14,12,,15,,-16,,
-1,13,12,13,,12,,15,,
-1,12,9,9,,12,,11,,
,14,14,10,,12,,-16,,
,11,7,12,,9,,-16,,
,14,12,8,,14,,-5,,
,14,12,8,,12,,-16,,
,12,9,9,,10,,-16,,
12,14,12,12,,12,,-2,,
,15,13,11,,13,,-1,,
,13,7,13,,10,,,,
,13,12,11,,12,,8,,
,13,12,12,,11,,-1,,
,8,10,12,,11,,4,,
,13,8,10,,9,,-3,,
,15,10,10,,13,,0,,
12,12,12,11,,14,,-6,,
,14,14,15,,13,,9,,
,12,14,13,,15,,13,,
,13,12,14,,13,,14,,
,15,13,13,,14,,9,,
,12,14,11,,10,,11,,
,15,10,10,,12,,14,,
,10,12,10,,12,,13,,
14,13,13,13,,12,,10,,
,14,12,11,,14,,10,,
,14,13,11,,13,,5,,
,14,12,12,,14,,5,,
,15,11,15,,10,,-16,,
,14,14,10,,10,,-1,,
,11,11,13,,14,,-16,,
,15,11,12,,15,,-16,,
14,14,8,12,,12,,11,,
,15,12,12,,9,,7,,
,15,12,13,,14,,0,,
,14,13,11,,11,,4,,
,15,15,12,,14,,5,,
,15,11,15,,10,,8,,
,13,14,15,,8,,5,,
,13,14,14,,7,,,,
10,12,12,14,,11,,-6,,
,15,12,12,,12,,8,,
,15,12,10,,13,,12,,
,14,9,14,,15,,13,,
,13,9,12,,15,,10,,
,10,11,13,,10,,11,,
,15,14,10,,10,,14,,
,14,10,12,,12,,10,,
15,11,11,12,,14,,0,,
,14,14,11,,8,,11,,
,12,14,12,,10,,11,,
,10,11,15,,13,,11,,
,11,13,13,,13,,-1,,
,15,11,14,,10,,-3,,
,12,9,14,,13,,-9,,
,14,9,12,,11,,-2,,
14,12,9,13,,13,,13,,
,13,14,11,,15,,12,,
,13,15,11,,12,,8,,
,12,14,13,,13,,,,
,9,14,13,,10,,12,,
,7,12,15,,12,,13,,
,9,11,14,,15,,5,,
,4,11,8,,14,,8,,
10,10,10,10,,6,,14,,
,11,13,10,,6,,14,,
1,11,7,14,,15,,14,,
,8,14,11,,15,,10,,
2,15,11,12,,8,,9,,
,11,14,10,,12,,13,,
0,15,12,15,,11,,14,,
,12,14,14,,11,,14,,
14,12,12,12,,5,,13,,
,8,11,11,,10,,12,,
,8,11,13,,13,,10,,
,9,12,13,,13,,11,,
,13,14,11,,12,,13,,
,10,10,15,,7,,15,,
,11,14,13,,14,,13,,
,10,15,14,,8,,-1,,
6,10,14,11,,13,,12,,
,11,15,12,,15,,11,,
,12,12,11,,11,,12,,
,9,12,13,,15,,14,,
,13,15,11,,11,,-1,,
,8,9,15,,14,,,,
,14,11,12,,11,,-7,,
,13,14,14,,8,,-3,,
14,13,13,13,,7,,-14,,
,15,14,10,,11,,-16,,
,14,10,7,,13,,15,,
,10,8,10,,10,,14,,
,13,11,13,,14,,-2,,
,15,12,13,,12,,,,
,15,9,13,,14,,,,
,15,13,13,,14,,-1,,
4,15,12,12,,12,,-16,,
,13,8,12,,11,,-16,,
,8,12,12,,10,,15,,
,13,11,13,,12,,15,,
,12,14,4,,14,,4,,
,10,13,7,,13,,0,,
,14,14,12,,13,,8,,
,13,11,12,,15,,13,,
14,15,13,13,,14,,12,,
,13,13,12,,12,,14,,
,12,10,11,,10,,10,,
,15,11,13,,9,,6,,
,10,11,8,,6,,10,,
,10,10,13,,12,,10,,
,13,13,13,,4,,2,,
,10,11,15,,13,,-16,,
14,14,14,15,,9,,-5,,
,15,14,13,,13,,13,,
,12,12,13,,14,,15,,
,11,9,12,,13,,15,,
,11,14,14,,10,,10,,
,14,12,13,,11,,12,,
,15,11,14,,11,,13,,
,14,14,11,,15,,-8,,
11,8,15,15,,13,,-16,,
,13,10,15,,13,,-16,,
,5,13,14,,13,,-16,,
,10,13,14,,15,,14,,
,9,13,13,,12,,-16,,
,4,11,12,,14,,-16,,
,4,11,11,,13,,-16,,
,4,13,12,,10,,-16,,
12,15,13,13,,14,,-6,,
1,11,10,12,,9,,0,,
1,15,13,15,,14,,-4,,
-3,14,12,9,,12,,-1,,
,11,11,12,,11,,-12,,
,15,13,13,,12,,4,,
,12,13,10,,12,,14,,
2,15,12,10,,14,,-1,,
14,8,9,12,,11,,-16,,
,11,11,12,,11,,-16,,
,13,13,13,,5,,-16,,
,14,12,12,,15,,-16,,
,14,14,13,,12,,-16,,
,11,12,14,,8,,-16,,
,9,12,11,,10,,-16,,
,11,12,14,,12,,-16,,
11,14,14,12,,13,,-1,,
,11,14,12,,12,,,,
,11,12,12,,12,,-14,,
,13,12,11,,7,,-16,,
,15,8,13,,11,,-1,,
,15,14,13,,14,,-5,,
,15,13,14,,11,,-3,,
,12,13,14,,12,,-3,,
13,15,14,15,,13,,-16,,
,15,11,15,,13,,-2,,
,15,14,14,,8,,0,,
,10,14,13,,14,,-2,,
,15,14,10,,14,,-10,,
,15,12,13,,13,,-11,,
,14,12,15,,14,,-4,,
,14,15,14,,12,,-4,,
14,13,13,9,,11,,-2,,
,12,12,14,,13,,-5,,
,13,15,13,,15,,7,,
,15,9,14,,14,,-1,,
,12,15,13,,11,,11,,
,11,15,14,,13,,15,,
,12,12,10,,11,,6,,
,12,13,12,,14,,-16,,
11,9,12,13,,13,,-10,,
,12,11,13,,10,,-2,,
,13,13,12,,13,,,,
,12,13,14,,11,,-2,,
,10,12,12,,6,,7,,
,12,11,14,,11,,9,,
,9,10,10,,9,,7,,
,12,9,10,,11,,13,,
15,15,15,9,,12,,,,
,14,9,13,,11,,-2,,
,14,13,14,,11,,-3,,
,14,8,13,,14,,,,
,7,11,7,,13,,-2,,
,11,11,12,,12,,,,
,15,11,12,,13,,,,
,12,12,12,,15,,,,
11,15,11,9,,15,,,,
,14,13,12,,9,,-8,,
,12,11,14,,13,,15,,
,9,13,12,,11,,15,,
,12,13,13,,14,,-13,,
,9,12,15,,11,,,,
,9,13,13,,12,,-1,,
,0,14,14,,6,,-6,,
11,6,14,12,,9,,-16,,
,11,11,14,,14,,-15,,
,13,10,12,,11,,9,,
2,11,8,13,,14,,-8,,
1,14,13,10,,10,,1,,
1,14,8,11,,8,,-16,,
1,13,10,10,,15,,-15,,
,15,10,12,,13,,-16,,
15,15,15,11,,14,,,,
,14,9,13,,14,,,,
,15,12,12,,14,,-3,,
,14,13,12,,14,,,,
,15,15,10,,13,,-5,,
,13,11,14,,12,,,,
,13,14,15,,14,,,,
,12,13,14,,11,,,,
11,14,10,9,,10,,-4,,
,15,9,10,,7,,-7,,
,13,10,12,,12,,-16,,
,10,11,12,,14,,-2,,
,15,13,14,,11,,,,
,15,14,11,,15,,-2,,
,9,13,12,,12,,-16,,
,12,13,12,,10,,-9,,
9,11,12,14,,10,,-16,,
,13,15,13,,12,,-16,,
,14,11,12,,12,,-16,,
,14,13,14,,15,,-2,,
,11,13,12,,12,,1,,
,13,12,15,,9,,-16,,
,13,9,14,,15,,-16,,
,12,11,10,,11,,-16,,
1,11,11,8,,11,,12,,
,12,8,15,,14,,12,,
,13,15,13,,15,,11,,
,9,14,15,,14,,8,,
,12,12,15,,15,,,,
,11,8,14,,13,,-2,,
,12,14,11,,4,,-2,,
,8,13,10,,15,,,,
